nom,description,entrepriseAdaptee,url,logo
FLUNCH,FLUNCH,False,,
CALYPSO,,False,,
CENTRE HOSPITALIER SAINTE MARIE,,False,,
RAMPA ENTREPRISES,"Le groupe RAMPA est une entreprise familiale, réunissant une dizaine de filiales et plus de six cents personnes autour des métiers de l'Eau, de l'Énergie, de la Préfabrication et de l'Immobilier.
Présente dans un large quart sud-est, l'entreprise maîtrise la technicité de tous ces secteurs et les diverses compétences des équipes en font une entreprise moderne, résolument tournée vers l?avenir, capable d'apporter des solutions complètes dans des activités aussi différentes mais complémentaires",False,,
GSF ORION,,False,,
INTERMARCHE,,False,,
PHARMACIE DE LA VOULTE,,False,,
LE BISTR'O,,False,,
SIEGE ADMINISTRATIF,"L'Adapei 07 est une Association (loi 1901) fondée en 1963 à l'initiative de parents soucieux de l'éducation et de l'avenir de leurs enfants souffrant d'un handicap intellectuel, l'association conserve et revendique ce caractère familial. Elle accueille et accompagne tout au long de de la vie, des personnes en situation de handicap, dans ses établissements comme en milieu ordinaire. ",False,https://www.adapei07.fr/,
FEDER OEUVRE LAIQUE ARDECHE,,False,,
CHAMBEU JEREMY,,False,,
LARCAD,LARCAD est une entreprise spécialisée dans le portage de plateaux repas pour les particuliers et les professionnels.,False,,
MANPOWER FRANCE,"Faites confiance à Manpower, votre partenaire emploi :
- Des opportunités nombreuses et diversifiées
- Une expertise RH et des conseils emploi
- Une employabilité durable avec le programme MyPath® 
- Des démarches facilitées 
- Des avantages et des services",False,,
CLINIQUE PASTEUR,,False,,
CENTRE SOCIOCULTUREL LE RICOCHET,"Le centre socio culturel Le Ricochet est une association d'éducation populaire agréé par la CAF de l'Ardèche. Le Ricochet met en oeuvre son projet social, et propose des actions et services : accueil des habitants et associations, micro crèche, accueil de loisirs, service jeunesse, France services, service familles et parentalité, service seniors, action sociale logement, développement local   Nous accompagnons les projets collectifs d'habitants et soutenons les initiatives citoyennes.
",False,,
SYNETHIS Renault SDA Privas,,False,,
PLD MEDITERRANEE,"Société de nettoyage locale, dynamique en plein essor",False,,
